schemaTuple,visited,timesVisited,id
producttypeisshippingrequired,True,9,b3e80b84-861f-52b9-a05c-b75ee208635a
producttypeisdigital,False,0,
producttypeweight,True,1,4a908611-f6d7-52a2-aa46-30c25d9cb0c8
producttypeprivatemetadata,True,4,df837512-1c99-5f64-9d9b-f2ddebc83e55
producttypemetadata,True,4,63a368e7-ddf1-5179-aa73-d4e135bc2109
producttypeproducts,True,2,d31186cb-2365-5f75-9ffd-fe713972afa1
producttypetaxrate,True,1,d31186cb-2365-5f75-9ffd-fe713972afa1
producttypetaxtype,True,1,d31186cb-2365-5f75-9ffd-fe713972afa1
producttypevariantattributes,True,2,b32a2489-86a1-50f9-a781-cc766de53279
producttypeproductattributes,True,2,b32a2489-86a1-50f9-a781-cc766de53279
producttypeavailableattributes,True,2,bb3d7ea4-f083-5e1b-8dfe-fc80ca28491b
productcountableconnectionpageinfo,True,60,b40eee90-1a81-5d74-9b39-b8329459289e
productcountableconnectionedges,True,146,b40eee90-1a81-5d74-9b39-b8329459289e
productcountableconnectiontotalcount,True,54,ce33135b-0bf4-55c3-8d17-8fb77819410a
productcountableedgenode,True,146,b40eee90-1a81-5d74-9b39-b8329459289e
productcountableedgecursor,True,1,75031611-6408-5a7a-b898-ab0e79020af3
taxtypedescription,True,1,d31186cb-2365-5f75-9ffd-fe713972afa1
taxtypetaxcode,True,1,d31186cb-2365-5f75-9ffd-fe713972afa1
attributeid,True,80,08d2356c-c085-57f0-97c7-bd2e226ee9ff
attributeproducttypes,False,0,
attributeproductvarianttypes,False,0,
attributeprivatemetadata,True,4,977e86d7-a7d7-5c1d-b9be-a185d0a6ab28
attributemetadata,True,4,a5d53b6e-60c4-5bc6-b4ad-77ddc6ee64f3
attributeinputtype,False,0,
attributename,True,101,08d2356c-c085-57f0-97c7-bd2e226ee9ff
attributeslug,True,75,8a637824-c790-5714-a35c-6d17c65b2c3b
attributevalues,True,28,8a637824-c790-5714-a35c-6d17c65b2c3b
attributevaluerequired,True,1,0cec8ae0-83aa-5aab-8dd1-91f2b9867f85
attributevisibleinstorefront,True,1,267948ae-1a91-56d1-8433-572683758c94
attributefilterableinstorefront,True,1,d44ae4d8-2d78-5944-9b66-f9e880028162
attributefilterableindashboard,True,1,6324c08b-6ac4-541e-81c1-7b13898ec42f
attributeavailableingrid,True,1,38cbd284-0d72-52e5-8537-737f3c733f2b
attributetranslation,True,2,b32a2489-86a1-50f9-a781-cc766de53279
attributestorefrontsearchposition,True,1,3dba405e-1cc7-5910-97e5-c72af1ee7c7a
producttypecountableconnectionpageinfo,True,12,cf01825d-fa32-5e20-a429-23d6d540fc75
producttypecountableconnectionedges,True,29,aacac30a-6aff-5170-ab2e-3613d91e2fd1
producttypecountableconnectiontotalcount,True,1,7d4561ad-aa98-5bee-8577-2bc749c61d79
producttypecountableedgenode,True,29,aacac30a-6aff-5170-ab2e-3613d91e2fd1
producttypecountableedgecursor,False,0,
attributevalueid,True,64,8a637824-c790-5714-a35c-6d17c65b2c3b
attributevaluename,True,98,8a637824-c790-5714-a35c-6d17c65b2c3b
attributevalueslug,True,29,8a637824-c790-5714-a35c-6d17c65b2c3b
attributevaluetranslation,True,3,8ee88759-4857-5371-908d-98a604dde98f
attributevalueinputtype,True,1,5f346f6b-2200-5f3e-840e-0a91b6434f51
attributevaluetranslationid,True,1,b32a2489-86a1-50f9-a781-cc766de53279
attributevaluetranslationname,True,4,8ee88759-4857-5371-908d-98a604dde98f
attributevaluetranslationlanguage,True,2,8ee88759-4857-5371-908d-98a604dde98f
attributetranslationid,True,1,b32a2489-86a1-50f9-a781-cc766de53279
attributetranslationname,True,3,08d2356c-c085-57f0-97c7-bd2e226ee9ff
attributetranslationlanguage,True,1,89a41d27-dd43-50a5-a93f-be3c7308ec93
attributecountableconnectionpageinfo,True,15,4a95e813-39e6-5c59-92f1-8c4097dffdc4
attributecountableconnectionedges,True,77,8a637824-c790-5714-a35c-6d17c65b2c3b
attributecountableconnectiontotalcount,True,4,c300ed7a-d946-5621-9699-9187f7ce1f94
attributecountableedgenode,True,77,8a637824-c790-5714-a35c-6d17c65b2c3b
attributecountableedgecursor,False,0,
categoryseotitle,True,17,353340ac-06d3-5740-bd78-b90c6cb5deaf
categoryseodescription,True,17,353340ac-06d3-5740-bd78-b90c6cb5deaf
categoryid,True,110,031cf738-f70f-5003-b4f2-c39b92486d49
categoryname,True,145,b9160a30-5f95-5526-aad9-981a1438102d
categorydescription,False,0,
categorydescriptionjson,True,2,75031611-6408-5a7a-b898-ab0e79020af3
categoryslug,True,2,75031611-6408-5a7a-b898-ab0e79020af3
categoryparent,True,3,f644fb49-624e-5a9b-9751-9681532623e6
categorylevel,False,0,
categoryprivatemetadata,True,4,d5b0a33d-cd11-58d8-9024-da841251fce8
categorymetadata,True,4,c1b8083e-2fb3-55de-9cae-ab7070a31aa1
categoryancestors,True,25,353340ac-06d3-5740-bd78-b90c6cb5deaf
categoryproducts,True,31,031cf738-f70f-5003-b4f2-c39b92486d49
categorychildren,True,20,ce33135b-0bf4-55c3-8d17-8fb77819410a
categorybackgroundimage,True,19,353340ac-06d3-5740-bd78-b90c6cb5deaf
categorytranslation,True,3,663a8e9b-7ec2-550b-bc08-66cfebc8361d
categorycountableconnectionpageinfo,True,20,b9160a30-5f95-5526-aad9-981a1438102d
categorycountableconnectionedges,True,71,b9160a30-5f95-5526-aad9-981a1438102d
categorycountableconnectiontotalcount,True,14,ce33135b-0bf4-55c3-8d17-8fb77819410a
categorycountableedgenode,True,71,b9160a30-5f95-5526-aad9-981a1438102d
categorycountableedgecursor,False,0,
imageurl,True,149,b40eee90-1a81-5d74-9b39-b8329459289e
imagealt,True,59,031cf738-f70f-5003-b4f2-c39b92486d49
categorytranslationseotitle,True,1,2f3fa91d-59aa-571b-85e2-d19098f18678
categorytranslationseodescription,True,1,2f3fa91d-59aa-571b-85e2-d19098f18678
categorytranslationid,True,1,2f3fa91d-59aa-571b-85e2-d19098f18678
categorytranslationname,True,4,6d3126bd-5d8a-5a2c-a972-b19e7601bb3e
categorytranslationdescription,False,0,
categorytranslationdescriptionjson,True,1,2f3fa91d-59aa-571b-85e2-d19098f18678
categorytranslationlanguage,True,3,663a8e9b-7ec2-550b-bc08-66cfebc8361d
productvariantid,True,35,031cf738-f70f-5003-b4f2-c39b92486d49
productvariantname,True,40,031cf738-f70f-5003-b4f2-c39b92486d49
productvariantsku,True,45,031cf738-f70f-5003-b4f2-c39b92486d49
productvariantproduct,True,20,b3e80b84-861f-52b9-a05c-b75ee208635a
productvarianttrackinventory,False,0,
productvariantweight,True,1,5e905f69-7b7b-5194-88a6-fc2c4249c05e
productvariantprivatemetadata,True,4,580a95e5-0030-5b88-811e-aae1f47fb041
productvariantmetadata,True,4,f81710e5-60db-58b4-b07d-6a5594678c69
productvariantprice,True,2,5e905f69-7b7b-5194-88a6-fc2c4249c05e
productvariantpricing,True,26,031cf738-f70f-5003-b4f2-c39b92486d49
productvariantattributes,True,26,031cf738-f70f-5003-b4f2-c39b92486d49
productvariantcostprice,True,2,5e905f69-7b7b-5194-88a6-fc2c4249c05e
productvariantmargin,True,1,ff8fa565-7cdc-5124-b2c3-6c037fe6f3d5
productvariantquantityordered,True,3,b780d03d-eae1-5458-8868-e80a99029506
productvariantrevenue,True,2,b780d03d-eae1-5458-8868-e80a99029506
productvariantimages,True,11,031cf738-f70f-5003-b4f2-c39b92486d49
productvarianttranslation,True,2,364bb406-8be1-5a05-bfe6-9ae3bdc78c66
productvariantdigitalcontent,True,2,f04def88-95ad-56bf-8c84-7bf16b5b91a2
